ap-rdf_1,ap-rdf_2,ap-rdf_3,ap-rdf_4,ap-rdf_5,ap-rdf_6,ap-rdf_7,ap-rdf_8,ap-rdf_9,ap-rdf_10,ap-rdf_11,ap-rdf_12,ap-rdf_13,ap-rdf_14,ap-rdf_15,ap-rdf_16,ap-rdf_17,ap-rdf_18,ap-rdf_19,ap-rdf_20,ap-rdf_21,ap-rdf_22,ap-rdf_23,ap-rdf_24,ap-rdf_25,ap-rdf_26,ap-rdf_27,ap-rdf_28,ap-rdf_29,ap-rdf_30,ap-rdf_31,ap-rdf_32,ap-rdf_33,ap-rdf_34,ap-rdf_35,ap-rdf_36,ap-rdf_37,ap-rdf_38,ap-rdf_39,ap-rdf_40,ap-rdf_41,ap-rdf_42,ap-rdf_43,ap-rdf_44,ap-rdf_45,ap-rdf_46,ap-rdf_47,ap-rdf_48,ap-rdf_49,ap-rdf_50,ap-rdf_51,ap-rdf_52,ap-rdf_53,ap-rdf_54,ap-rdf_55,ap-rdf_56,ap-rdf_57,ap-rdf_58,ap-rdf_59,ap-rdf_60,ap-rdf_61,ap-rdf_62,ap-rdf_63,ap-rdf_64,ap-rdf_65,ap-rdf_66,ap-rdf_67,ap-rdf_68,ap-rdf_69,ap-rdf_70,ap-rdf_71,ap-rdf_72,ap-rdf_73,ap-rdf_74,ap-rdf_75,ap-rdf_76,ap-rdf_77,ap-rdf_78,ap-rdf_79,ap-rdf_80,ap-rdf_81,ap-rdf_82,ap-rdf_83,ap-rdf_84,ap-rdf_85,ap-rdf_86,ap-rdf_87,ap-rdf_88,ap-rdf_89,ap-rdf_90,ap-rdf_91,ap-rdf_92,ap-rdf_93,ap-rdf_94,ap-rdf_95,ap-rdf_96,ap-rdf_97,ap-rdf_98,ap-rdf_99,ap-rdf_100,ap-rdf_101,ap-rdf_102,ap-rdf_103,ap-rdf_104,ap-rdf_105,ap-rdf_106,ap-rdf_107,ap-rdf_108,ap-rdf_109,ap-rdf_110,ap-rdf_111,ap-rdf_112,ap-rdf_113,ap-rdf_114,ap-rdf_115,ap-rdf_116,ap-rdf_117,ap-rdf_118,ap-rdf_119,ap-rdf_120,ap-rdf_121
4.66E-10,5.90E-08,2.19E-06,2.52E-05,0.000106346,0.000223983,0.000239621,0.000127439,0.000155859,0.000348651,0.000478045,0.0004046,0.000292268,0.000273739,0.000388119,0.000538831,0.000599124,0.000616303,0.00060165,0.000654522,0.000743228,0.000710491,0.000624458,0.000636338,0.000742028,0.00085039,0.000876969,0.000814358,0.000818128,0.000896589,0.000874938,0.000817742,0.000816977,0.000871013,0.000896091,0.000871534,0.000876532,0.0008835,0.000883112,0.000915767,0.000914646,0.000892385,0.000893637,0.0008802,0.000855009,0.000833649,0.000841723,0.000842177,0.000829043,0.000840008,0.00082302,0.000756295,0.000718301,0.000720816,0.000725126,0.00072611,0.000707204,0.000663339,0.000665918,0.000683667,0.000671613,0.000623703,0.000592555,0.00060388,0.000606546,0.000592516,0.000566867,0.000547227,0.000540041,0.000526843,0.000518013,0.000490275,0.000452902,0.000442066,0.000428037,0.000430509,0.000410225,0.000360552,0.000332282,0.000318424,0.000310728,0.000285482,0.000250063,0.000242995,0.000252462,0.000240571,0.000195062,0.000154767,0.000146545,0.000159769,0.000159722,0.000151966,0.000154722,0.000149206,0.000140511,0.000124252,0.000114953,0.000114138,0.000110488,0.000104469,9.22E-05,8.24E-05,7.05E-05,5.50E-05,5.13E-05,4.71E-05,4.10E-05,4.62E-05,5.04E-05,4.42E-05,4.10E-05,4.05E-05,3.73E-05,3.76E-05,4.48E-05,4.61E-05,3.82E-05,3.58E-05,3.56E-05,3.00E-05,2.18E-05
4.70E-10,5.84E-08,2.13E-06,2.43E-05,0.000106861,0.00023843,0.000247938,0.000116519,0.000141795,0.000329012,0.000432612,0.000332926,0.000261454,0.000313265,0.000410332,0.000482223,0.000447652,0.000431675,0.000480873,0.000552307,0.00058921,0.000519,0.000452818,0.000467176,0.000483122,0.00050624,0.000538517,0.000479988,0.000409168,0.000422158,0.000426493,0.000426455,0.000432524,0.000430446,0.000453338,0.000466941,0.000454781,0.000437605,0.000422964,0.000406099,0.000398827,0.000389884,0.000427339,0.000435373,0.00043083,0.00045911,0.000443752,0.000418736,0.000444928,0.000450803,0.000434146,0.000438808,0.000497778,0.000511771,0.000472579,0.000461617,0.000487894,0.000494187,0.000495823,0.000489705,0.00052721,0.000548317,0.000527748,0.000525196,0.000537799,0.000572653,0.000548519,0.00051692,0.000520966,0.000530887,0.000585497,0.000605801,0.000543049,0.000520472,0.000580422,0.000670045,0.000643218,0.000583461,0.0005711,0.000609173,0.000665431,0.000607635,0.000520349,0.000506855,0.000559976,0.000552009,0.000487014,0.000473515,0.000509472,0.000563279,0.000547475,0.00047359,0.000438645,0.000460761,0.000469917,0.000434528,0.00040925,0.000397258,0.000398165,0.000394898,0.000361466,0.000333876,0.00031118,0.000308178,0.000309649,0.000315634,0.000298059,0.000271816,0.000265814,0.000256167,0.000264326,0.000231176,0.000188881,0.000190662,0.000215644,0.000216642,0.00018814,0.000153244,0.000165611,0.000208435,0.000191888
5.36E-10,6.82E-08,2.54E-06,2.92E-05,0.000123127,0.000253172,0.000250195,0.000121621,0.000159153,0.000353239,0.000461352,0.000384906,0.000311918,0.000319391,0.000401394,0.000484272,0.000489316,0.000492836,0.000528178,0.000577747,0.000618714,0.000517181,0.000388753,0.000393687,0.000458319,0.000500532,0.000518376,0.000468192,0.000435011,0.000471009,0.000454974,0.000421898,0.000425626,0.000435387,0.00045248,0.000497568,0.000508638,0.00044945,0.000407811,0.000372644,0.000371701,0.000392048,0.000412407,0.000442233,0.000456205,0.000450053,0.000445224,0.000439373,0.000437559,0.000444937,0.000487604,0.0004999,0.000470495,0.00048227,0.00048762,0.000468132,0.000433604,0.000464338,0.000529587,0.000495139,0.000465077,0.000517966,0.000565201,0.000525266,0.000521629,0.000568068,0.000587666,0.000593832,0.000607674,0.000680716,0.000713527,0.000663434,0.000621521,0.00066885,0.000719294,0.000715587,0.000697117,0.00066372,0.00068983,0.000727342,0.000697494,0.00065791,0.00067574,0.000746989,0.000759135,0.000699797,0.00062222,0.000620531,0.000703041,0.000713309,0.000667462,0.000642321,0.00062683,0.000625013,0.000573294,0.000526671,0.000529403,0.000542838,0.000547634,0.000504671,0.000475581,0.000464742,0.000457069,0.000444319,0.000441066,0.000423308,0.000388924,0.00036492,0.000372834,0.000387882,0.000348548,0.000300846,0.000292108,0.000336365,0.000374863,0.000348373,0.000314003,0.000332991,0.000364713,0.000345977,0.000300589
5.18E-10,6.63E-08,2.49E-06,2.90E-05,0.000126153,0.00026961,0.000273778,0.000133388,0.000178959,0.000420342,0.000559797,0.000439607,0.000300179,0.000289265,0.000405416,0.000517619,0.000507889,0.000536441,0.000575033,0.000600472,0.000643755,0.000567582,0.000473733,0.000512613,0.000549489,0.000558881,0.000609881,0.000553427,0.000516102,0.00055528,0.000546359,0.000522136,0.000526163,0.00055718,0.000604668,0.000647425,0.00066389,0.000630605,0.000597678,0.000641145,0.00071803,0.000718955,0.000724274,0.000774301,0.0008354,0.000838082,0.000783954,0.000712194,0.00071377,0.000815785,0.000847409,0.000787328,0.000776921,0.00082121,0.000794716,0.000743356,0.000723519,0.000759042,0.000803921,0.000812984,0.000801068,0.000846314,0.00087872,0.00082384,0.000771437,0.000777018,0.000820077,0.000843222,0.000821488,0.000796763,0.000782159,0.000768683,0.000771922,0.000752489,0.000761031,0.00079076,0.00077159,0.000734084,0.000744867,0.000738975,0.000708532,0.000700978,0.000701817,0.000698197,0.000704591,0.000698583,0.00067918,0.000673305,0.000674748,0.000657324,0.000647611,0.000639113,0.000597944,0.000557134,0.000533442,0.000522011,0.000507386,0.000489283,0.000464368,0.000441823,0.000422174,0.000403732,0.000387706,0.00037755,0.00037332,0.000379643,0.000383521,0.000354644,0.000321258,0.000322945,0.000338239,0.00035088,0.000347327,0.000326589,0.000307426,0.000307505,0.000312186,0.0003019,0.000286478,0.000301535,0.000317847
8.51E-10,1.01E-07,3.48E-06,3.77E-05,0.000163167,0.000385062,0.00042318,0.000200142,0.00023273,0.000542248,0.000817702,0.000751782,0.000527484,0.000468765,0.000634198,0.000888313,0.00107992,0.001205479,0.001252272,0.001310638,0.001465721,0.001411408,0.001257648,0.001178864,0.001190449,0.001203128,0.001217364,0.001191491,0.001074349,0.001125914,0.001219156,0.001199124,0.00110471,0.001108191,0.001105275,0.001208782,0.001317047,0.001268404,0.001322595,0.001344972,0.001229762,0.001170455,0.001186136,0.001263509,0.00140752,0.001387035,0.001362316,0.001490788,0.001566258,0.001495377,0.00140022,0.001440801,0.001606564,0.00171964,0.001740677,0.001725925,0.001822925,0.001909065,0.001793421,0.001730748,0.001758337,0.001759768,0.001831763,0.001857711,0.001925094,0.001854734,0.001598743,0.001470962,0.001435094,0.001406574,0.001381366,0.001316941,0.001290696,0.001205853,0.001027368,0.00091234,0.000880802,0.000865121,0.000823951,0.00074065,0.000658888,0.000674052,0.000692833,0.000577035,0.000450007,0.000454742,0.000546284,0.000534364,0.000388555,0.000283184,0.000319616,0.000401843,0.000362741,0.000219699,0.000159199,0.000217272,0.000256765,0.000188335,9.88E-05,7.73E-05,0.000104854,0.000122778,9.31E-05,3.90E-05,2.04E-05,2.49E-05,1.78E-05,6.13E-06,9.64E-07,5.79E-08,1.14E-09,6.73E-12,1.17E-14,5.81E-18,8.33E-22,3.42E-26,4.04E-31,1.36E-36,1.32E-42,3.65E-49,2.90E-56
3.81E-10,4.85E-08,1.90E-06,2.71E-05,0.000180644,0.000574015,0.000707899,0.00037581,0.000377347,0.000873264,0.001131152,0.000818284,0.0005007,0.000368372,0.00058458,0.000850526,0.000788107,0.000773801,0.000959905,0.001077316,0.000893108,0.000689191,0.000670524,0.000710632,0.000885186,0.000849222,0.000845255,0.001147109,0.001080898,0.000720367,0.000598315,0.000773127,0.001092515,0.001178996,0.000886792,0.000753455,0.000957068,0.000988247,0.000976123,0.000922674,0.000866008,0.001123832,0.001308383,0.001168114,0.000980567,0.000983725,0.001189356,0.001255526,0.001180964,0.001043211,0.001119383,0.001374495,0.001453055,0.001400904,0.001316883,0.001384965,0.001483777,0.001285834,0.001165716,0.001353722,0.001449176,0.001364052,0.001265163,0.001304003,0.001521706,0.00161744,0.001629829,0.0015865,0.001558481,0.001776683,0.002006744,0.001961624,0.001830764,0.00196107,0.002095437,0.002069503,0.002049669,0.002012023,0.002015759,0.00208334,0.002165052,0.002224048,0.002461916,0.002648835,0.002431745,0.00216969,0.002231568,0.002293643,0.002381788,0.002473905,0.002355805,0.002494611,0.002577584,0.002453884,0.002350029,0.00230176,0.002413976,0.002424831,0.002460334,0.002403986,0.002209848,0.002222064,0.002264537,0.002068833,0.001914633,0.001964118,0.001962488,0.001942455,0.00188468,0.001769447,0.001701323,0.001694207,0.001743639,0.001606597,0.001528982,0.001648714,0.001637515,0.001584325,0.001468365,0.001402548,0.001401868
1.76E-09,2.12E-07,7.43E-06,8.08E-05,0.000336215,0.000748341,0.000826528,0.000418317,0.000446757,0.000972801,0.001512787,0.001544936,0.001320507,0.001268895,0.001527564,0.001892245,0.001991362,0.002028882,0.00218431,0.002182092,0.002301389,0.002407414,0.002155438,0.001858095,0.001891053,0.002082032,0.002227092,0.002242358,0.002205544,0.002246431,0.002316739,0.002249963,0.002150413,0.002191287,0.002284216,0.002397399,0.002529332,0.002675895,0.002714149,0.002735538,0.002732303,0.00271548,0.002702195,0.002816556,0.00308808,0.003343202,0.003430365,0.003272909,0.003202214,0.00336756,0.003638558,0.003778343,0.003648139,0.003768947,0.004023327,0.00420807,0.004365886,0.004398068,0.004418835,0.0047611,0.005085157,0.004988163,0.00498888,0.005192556,0.00537034,0.005469215,0.005381379,0.005279046,0.005204211,0.00516309,0.00505666,0.004898976,0.004892096,0.005021452,0.005080861,0.004819325,0.004618307,0.004517226,0.004418912,0.004529045,0.004618759,0.004628097,0.004709089,0.004778822,0.004413183,0.004040324,0.003940876,0.003947395,0.003872148,0.003871298,0.003875266,0.003685461,0.00357095,0.003632553,0.003621238,0.003528923,0.003501474,0.003512748,0.003532396,0.003633869,0.003741775,0.003608028,0.003478451,0.00359558,0.00368526,0.003638448,0.003652382,0.003652835,0.003614586,0.003668555,0.003757877,0.003712595,0.003594036,0.003627627,0.003757144,0.0038388,0.003653817,0.003546226,0.003636869,0.003675904,0.003525673
1.70E-09,2.03E-07,7.12E-06,7.96E-05,0.0003587,0.00082718,0.000834005,0.000375514,0.000530902,0.001200842,0.001558406,0.001329776,0.001036394,0.000925026,0.001061246,0.001214638,0.001288115,0.001567816,0.001588776,0.001602392,0.001743929,0.00151775,0.001288635,0.001314389,0.001542921,0.002008732,0.002177666,0.001988405,0.001939649,0.002044558,0.002072136,0.002055503,0.00216518,0.002497944,0.00290517,0.003153428,0.003217651,0.003321008,0.003497494,0.003749316,0.00404209,0.004449562,0.004892627,0.005050734,0.005011117,0.005022898,0.005030699,0.004861385,0.004826876,0.00508289,0.00541153,0.005559078,0.005467755,0.005411638,0.005494945,0.005336882,0.005030686,0.005057281,0.005349284,0.005429898,0.005134544,0.004790493,0.004858907,0.005032376,0.004807469,0.004581508,0.004632811,0.004794168,0.004808712,0.004571709,0.004468704,0.004591876,0.004675259,0.0046046,0.004553106,0.004598124,0.004756596,0.004818007,0.004601314,0.00434786,0.004330556,0.004306388,0.00419334,0.004061661,0.004060946,0.004035294,0.003921003,0.003833275,0.003780745,0.003680963,0.003656419,0.003814501,0.00390425,0.003709632,0.003558646,0.003555648,0.003459886,0.003301872,0.00330678,0.003301537,0.003089815,0.002971104,0.003005549,0.003044417,0.002981837,0.002836021,0.00280433,0.002767182,0.002681592,0.002622326,0.002586558,0.00250905,0.0024848,0.002519562,0.002442992,0.00234198,0.002248371,0.002191151,0.002153874,0.002111963,0.002075294
2.96E-10,3.60E-08,1.29E-06,1.49E-05,6.98E-05,0.000167849,0.000176118,7.93E-05,9.76E-05,0.00024226,0.000342086,0.000281043,0.000175012,0.00013826,0.000190186,0.000243754,0.000244837,0.000242037,0.000253777,0.000293529,0.00029227,0.000214742,0.000169032,0.000185186,0.000237515,0.000302016,0.000311099,0.000234434,0.000226962,0.000283382,0.000256035,0.000203587,0.000183793,0.000195103,0.000262135,0.000320308,0.000281533,0.000236597,0.000239086,0.000268441,0.000280359,0.000247477,0.000242308,0.000310522,0.000385918,0.000408467,0.000380776,0.000345747,0.000334877,0.000378361,0.000385892,0.000388673,0.000428247,0.000412488,0.000405566,0.000385449,0.000316164,0.000271308,0.000277828,0.00029672,0.000284131,0.000250607,0.000235702,0.000240704,0.000244476,0.000198594,0.000163094,0.000168427,0.000196277,0.00022141,0.000196419,0.000142922,0.000114357,0.000126692,0.00015131,0.000142851,0.000109374,8.97E-05,9.18E-05,0.000104042,0.000103935,8.99E-05,6.87E-05,6.97E-05,8.06E-05,6.80E-05,5.48E-05,4.77E-05,3.97E-05,4.22E-05,4.67E-05,3.81E-05,2.28E-05,2.15E-05,2.17E-05,1.47E-05,8.44E-06,7.47E-06,9.33E-06,1.26E-05,1.25E-05,9.92E-06,8.65E-06,3.97E-06,6.45E-07,6.04E-08,3.46E-07,1.41E-06,2.04E-06,1.10E-06,2.06E-07,1.22E-08,2.17E-10,1.12E-12,1.66E-15,7.08E-19,8.66E-23,3.04E-27,3.05E-32,8.78E-38,7.23E-44
7.42E-10,8.97E-08,3.16E-06,3.44E-05,0.000140011,0.000287705,0.000282606,0.000131349,0.000177856,0.000385464,0.000497598,0.000421793,0.000301819,0.00023995,0.00027401,0.000313048,0.000328115,0.000367893,0.000394464,0.000420429,0.000386806,0.000288748,0.000236688,0.000247694,0.000302457,0.000387766,0.000441347,0.000418369,0.000501972,0.000707158,0.000843867,0.000952247,0.001000675,0.001079041,0.001293014,0.001478134,0.001480286,0.001443743,0.001726731,0.002022654,0.001838529,0.001601063,0.00168768,0.001776279,0.001667539,0.001551852,0.001527079,0.001440912,0.001281871,0.00130881,0.001320113,0.001227596,0.001204717,0.001191872,0.001160029,0.001072718,0.001055529,0.001074031,0.001074773,0.001068944,0.001091799,0.001154178,0.001171841,0.001137202,0.001099325,0.001095092,0.00119295,0.001090094,0.000969279,0.000967508,0.000949536,0.000856739,0.000803852,0.000825173,0.000949709,0.001018882,0.000882873,0.000806279,0.000855748,0.000840257,0.00077185,0.000737195,0.000725426,0.000624608,0.000497367,0.00050667,0.000516078,0.000421962,0.000339386,0.000348599,0.000356056,0.000324531,0.000294917,0.00029535,0.000286254,0.000238818,0.000189691,0.000175915,0.00018269,0.000175846,0.000155823,0.000144288,0.000126926,0.000110134,9.64E-05,8.09E-05,5.85E-05,4.31E-05,3.94E-05,3.21E-05,2.24E-05,1.76E-05,1.34E-05,1.16E-05,7.29E-06,2.92E-06,1.63E-06,2.71E-06,1.81E-06,3.50E-07,1.94E-08
2.96E-10,3.60E-08,1.29E-06,1.49E-05,6.96E-05,0.000165619,0.000170778,7.56E-05,9.59E-05,0.000231485,0.000305602,0.000228459,0.00012628,0.000107724,0.000164266,0.000193539,0.000164225,0.000150363,0.00018986,0.000252147,0.000257507,0.000229621,0.000275658,0.000336103,0.000405169,0.000502574,0.000506958,0.000462252,0.000540376,0.000636087,0.000620288,0.000546584,0.000501235,0.000520571,0.000541662,0.000526599,0.000477486,0.000442949,0.000433214,0.000430928,0.000421129,0.000359465,0.000355952,0.000427376,0.000428748,0.000398576,0.000392418,0.00039475,0.000360577,0.000314704,0.000279236,0.000284301,0.000298734,0.000292119,0.000260783,0.000225437,0.000204002,0.000189218,0.000164501,0.0001288,0.000115505,0.00012058,0.000134486,0.00013798,0.000109061,7.18E-05,5.19E-05,6.31E-05,8.59E-05,8.87E-05,6.85E-05,5.03E-05,3.92E-05,3.51E-05,3.46E-05,3.28E-05,2.89E-05,1.91E-05,1.37E-05,1.56E-05,1.13E-05,5.04E-06,1.65E-06,4.47E-07,1.21E-06,2.15E-06,1.29E-06,2.55E-07,1.58E-08,2.95E-10,1.62E-12,2.58E-15,1.19E-18,1.56E-22,5.90E-27,6.40E-32,1.99E-37,1.76E-43,4.51E-50,3.29E-57,6.90E-65,4.13E-73,7.10E-82,3.50E-91,4.93E-101,1.99E-111,2.30E-122,7.65E-134,7.27E-146,1.98E-158,1.55E-171,3.45E-185,2.21E-199,4.06E-214,2.13E-229,3.20E-245,1.38E-261,1.71E-278,6.05E-296,6.152466187e-314,0
7.42E-10,8.97E-08,3.16E-06,3.41E-05,0.000136616,0.000276618,0.0002735,0.00012605,0.000157485,0.000339786,0.000447305,0.000389438,0.000294759,0.000251732,0.000315195,0.000407449,0.000494385,0.000643113,0.000709627,0.000726056,0.000688237,0.000580485,0.00063217,0.000913665,0.00117201,0.001198328,0.001120495,0.001006664,0.000953807,0.0009355,0.000843965,0.000882063,0.000960643,0.000955665,0.001027054,0.001113804,0.001233226,0.00134547,0.001419124,0.001474717,0.001598078,0.001614148,0.001597854,0.001747293,0.001726801,0.001581164,0.001567716,0.00168972,0.001727903,0.001694008,0.001604134,0.001350851,0.001168198,0.001146975,0.001146184,0.001119955,0.001048078,0.001022311,0.000964046,0.000844581,0.000795992,0.000798527,0.000851774,0.000875797,0.00076626,0.00068756,0.000653424,0.000600399,0.000573183,0.000591235,0.000638912,0.000694551,0.000693645,0.00072933,0.000880189,0.000982129,0.000907641,0.000795473,0.000789271,0.000851941,0.000926102,0.000902003,0.000718056,0.000641789,0.000714511,0.000664789,0.000519915,0.000409105,0.000356062,0.000323924,0.00026172,0.000207822,0.000172167,0.00015201,0.000124983,0.000122619,0.000128889,0.000122351,0.000116291,0.000100992,9.48E-05,9.57E-05,9.91E-05,0.000109967,0.000102189,7.93E-05,5.25E-05,3.92E-05,3.80E-05,3.16E-05,2.16E-05,1.73E-05,1.34E-05,1.16E-05,7.29E-06,2.92E-06,1.63E-06,2.71E-06,1.81E-06,3.50E-07,1.94E-08
3.44E-09,2.92E-07,8.11E-06,7.72E-05,0.000266384,0.000365101,0.000294571,0.000374162,0.000546623,0.000543593,0.000402335,0.000342824,0.000410954,0.000521249,0.000550872,0.000465581,0.00041284,0.000367306,0.000384463,0.000430409,0.000487064,0.000508974,0.000427212,0.000417668,0.000411367,0.000393786,0.000398457,0.000463631,0.00058556,0.000517458,0.000479,0.000498388,0.00050651,0.000499851,0.000522612,0.000587343,0.000598492,0.000555953,0.000554959,0.000591756,0.000585431,0.000596216,0.000643569,0.000658263,0.000691533,0.000716636,0.00072298,0.000743172,0.000853373,0.000868147,0.000903659,0.000971679,0.000946767,0.000928642,0.000917512,0.000969676,0.001064112,0.001103955,0.00108846,0.00109336,0.001241224,0.001448976,0.001584239,0.001728886,0.00191783,0.002145212,0.002394291,0.002495328,0.002534575,0.002292591,0.002093558,0.002114769,0.002150442,0.001904747,0.001538228,0.001297012,0.001189791,0.001075372,0.000951945,0.000998896,0.001036585,0.000862452,0.000758992,0.000759683,0.000691259,0.000630564,0.000579586,0.000480255,0.0004085,0.000347616,0.000311554,0.000284108,0.000222942,0.000195439,0.000190906,0.000148508,0.000132885,0.000132675,0.000125744,0.000123535,0.000111075,9.59E-05,9.27E-05,8.84E-05,7.80E-05,6.10E-05,4.26E-05,4.14E-05,4.09E-05,2.70E-05,1.89E-05,1.43E-05,1.13E-05,1.06E-05,6.96E-06,2.60E-06,1.57E-06,2.72E-06,1.72E-06,3.14E-07,1.64E-08
3.77E-10,5.67E-08,2.47E-06,3.27E-05,0.000153277,0.000351741,0.000417203,0.00022127,0.000191479,0.000387633,0.00054062,0.000522105,0.000400146,0.000353085,0.000338403,0.000311165,0.000353895,0.000360405,0.00046885,0.000672277,0.000728367,0.000742796,0.000863031,0.000901613,0.000997104,0.001159251,0.001116762,0.001221517,0.001624779,0.00180749,0.001716609,0.001802216,0.001847916,0.001730628,0.001586471,0.001584368,0.001664623,0.001708712,0.001687432,0.001751797,0.001854572,0.001946121,0.002059648,0.002281682,0.002475827,0.002588842,0.002708784,0.002847918,0.002991671,0.003060534,0.003099804,0.002998829,0.002936548,0.002962231,0.002931195,0.002758326,0.002571864,0.002396004,0.002280294,0.00217133,0.002001457,0.001827719,0.001810398,0.001875671,0.001859039,0.001719651,0.001576982,0.001723461,0.001822209,0.001691995,0.001692909,0.001904887,0.002046778,0.001879843,0.001608892,0.001564972,0.00151402,0.001368741,0.001366836,0.001288101,0.00115394,0.001175084,0.001214914,0.00120258,0.001206945,0.001232967,0.001322433,0.001298884,0.001183094,0.001223588,0.001372254,0.00133986,0.001186249,0.001158499,0.001182759,0.001166992,0.00117192,0.001098083,0.000983283,0.000859023,0.000659897,0.000493385,0.000418096,0.000384533,0.000337939,0.000291737,0.000282781,0.000284762,0.00023388,0.000194542,0.000189869,0.000202865,0.00020413,0.000192003,0.000192472,0.000179255,0.000158311,0.000158287,0.000151208,0.000121392,8.68E-05
4.45E-10,6.82E-08,3.04E-06,4.07E-05,0.000182414,0.000362212,0.000446506,0.000351733,0.000261645,0.00047199,0.00072021,0.000706341,0.000537973,0.000373983,0.000476886,0.000800383,0.001198654,0.001537983,0.001694319,0.001835767,0.001820436,0.001685066,0.001699249,0.001699047,0.001724823,0.001761663,0.001668696,0.001687171,0.001732705,0.001688948,0.001603137,0.001691264,0.001900818,0.002052388,0.002079629,0.002088705,0.002104494,0.0021677,0.002229105,0.002289775,0.0023228,0.002396999,0.00235697,0.002497074,0.00279288,0.002869157,0.00286812,0.003036959,0.00314111,0.003109074,0.003120153,0.003217084,0.003464795,0.003514493,0.003322157,0.003162524,0.003213202,0.003421505,0.003603711,0.003916648,0.003793944,0.003346597,0.003363751,0.003610726,0.003554163,0.003339605,0.003117971,0.003009537,0.002969391,0.002773878,0.002604173,0.002542658,0.002397524,0.002173087,0.002089424,0.002080464,0.00203284,0.00215654,0.00226164,0.002104093,0.002088382,0.002115483,0.002088132,0.002167899,0.002387239,0.002389842,0.002216013,0.002128486,0.002057525,0.002022502,0.001991426,0.001965454,0.001864182,0.001732463,0.001747382,0.001736045,0.001600298,0.001595976,0.001668485,0.001586722,0.001486927,0.001670743,0.001844629,0.001756196,0.001689765,0.001771686,0.001812371,0.001795115,0.001709724,0.001614835,0.00165926,0.00172855,0.001621413,0.00139587,0.00118265,0.001083948,0.00109218,0.00113794,0.001026548,0.000850876,0.00072644
4.32E-10,6.96E-08,3.26E-06,4.62E-05,0.000220554,0.000464256,0.000583021,0.000442985,0.000306042,0.000572493,0.000915937,0.000900787,0.000661727,0.000452148,0.000555142,0.000954569,0.001546505,0.002055437,0.002269111,0.002355628,0.002204393,0.00207915,0.002115886,0.001995567,0.00198445,0.00201729,0.001855052,0.001754961,0.001761003,0.001824048,0.001844729,0.001888937,0.002057181,0.002383751,0.002598486,0.002616036,0.002651573,0.002671415,0.002647915,0.002696837,0.002744492,0.002841411,0.00274515,0.002522653,0.002495228,0.00269779,0.002829072,0.002699514,0.0026869,0.002843503,0.003058386,0.003114141,0.003226303,0.003376948,0.003505035,0.003759251,0.004007773,0.004030479,0.004157945,0.004278112,0.004128148,0.004281506,0.004711841,0.004899309,0.004867653,0.00456287,0.004321495,0.004642479,0.004974066,0.004915206,0.004736616,0.004552079,0.00447164,0.004477583,0.004351507,0.004170553,0.004009137,0.003786232,0.003615924,0.003476514,0.003316018,0.003225393,0.003162313,0.003037513,0.002830955,0.002750642,0.002782225,0.002759254,0.002705921,0.002850115,0.002982249,0.002840073,0.002637353,0.002487949,0.00241474,0.002567869,0.002777612,0.002895025,0.002840192,0.002747951,0.002629227,0.002587537,0.002579902,0.002498288,0.002406923,0.002384131,0.002389182,0.002407956,0.002438031,0.002382424,0.002238151,0.002114619,0.00207831,0.002068321,0.002020126,0.001986132,0.002035615,0.00201488,0.001879808,0.001947808,0.002189987
2.57E-10,4.43E-08,2.28E-06,3.76E-05,0.000229646,0.000585518,0.000586729,0.000246256,0.00030006,0.000800299,0.00109709,0.00089327,0.000593996,0.00050762,0.000787018,0.001073889,0.001182471,0.001308408,0.001607294,0.00190852,0.001826877,0.001689052,0.001644301,0.001694526,0.001668267,0.001636843,0.001691159,0.001721069,0.001713584,0.001597454,0.001508683,0.001491392,0.001603142,0.001727632,0.001833354,0.001928938,0.002014985,0.002168194,0.002305372,0.002336241,0.002310814,0.00244319,0.002738558,0.002923223,0.00299141,0.003020264,0.0031134,0.003231654,0.003210799,0.003340633,0.003478672,0.00353144,0.003747466,0.003650631,0.003324537,0.003313214,0.003420965,0.003542019,0.003452446,0.003201467,0.003070579,0.003053603,0.003008938,0.002965927,0.002975766,0.00296461,0.002926132,0.002880741,0.002822939,0.002929064,0.003142126,0.003153662,0.002960479,0.002893357,0.002897086,0.002841039,0.002751775,0.002650621,0.002645637,0.002577201,0.002413679,0.002367486,0.002332257,0.002258662,0.00219401,0.002315051,0.002366323,0.002353269,0.002257223,0.002095804,0.002059806,0.002001234,0.001954375,0.001974849,0.001973616,0.001925603,0.00188184,0.001875017,0.001832236,0.001734911,0.001728327,0.00176999,0.001826825,0.001764735,0.001660726,0.001653966,0.001703562,0.001697902,0.001622203,0.001565883,0.00165332,0.001689001,0.001609652,0.001674055,0.00169335,0.001588269,0.001539911,0.001468902,0.001397853,0.001329435,0.001210808
